#Task Types

Research                    Learning, Testing, and Studying
Design                      Project Planning and Organization
Development                 Programming, Testing, and Debugging
Graphic                     2D Graphic Development
Illustration                Drawing
3D                          Generating, Texturing, Lighting, and Rendering
Modeling                    Modeling, Sculpting, Rigging, and Animating
Audio                       Composing, Producing, and Mixing
Acoustic                    Instrument Play
Recording                   Audio Recording
Performance                 Audio and Visual Performance
Filming                     Video Filming
Photography                 Photography
Editing                     Video and Photo Editing
Writing                     Narrative, Storytelling, and Research
Documentation               Project Documentation
Linguistics                 Language Development
Maintenance                 Personal Organization and Maintenance
Event                       Noteworthy Event

#Log

DATE            TIME        PROJECT                             TASK                DETAILS

2017.04.19      5.5         The Cosmic Affliction               3D                  Terrain and atmosphere generation and rendering.
2017.04.19      2.0         The Cosmic Affliction               Audio               Levi composition.
2017.04.19      1.5         V-OS                                Design              Back-end cleanup, mobile-friendly rework for V-OS and Log.
2017.04.19      0.5         Elyium                              Documentation       Documentation.
2017.04.18      0.5         The Cosmic Affliction               3D                  Terrain rendering tests.
2017.04.17      2.5         Log                                 Design              Project semantics, organization, visualization adjustments, graphs design attempt.
2017.04.17      0.5         V-OS                                Development         Styling simplification, projects list style change, image frame taper implementation.
2017.04.17      0.5         V-OS                                Writing             Project documentation.
2017.04.17      0.5                                             Editing             Stratet image editing.
2017.04.17      0.5         Rig                                 3D                  Performance testing through demanding 3D renders.
2017.04.17      2.0         Rig                                 Research            Performance and diagnostics testing.
2017.04.17      0.5         The Cosmic Affliction               3D                  Terrain and atmosphere generation.
2017.04.16      2.5         The Cosmic Affliction               3D                  Terrain and atmosphere generation.
2017.04.16      0.5         The Cosmic Affliction               Research            Digital collage study.
2017.04.16      1.0         The Cosmic Affliction               Audio               Saturn Rain mixing.
2017.04.15      4.0         The Cosmic Affliction               Audio               Saturn Rain composition, recording, mixing.
2017.04.14      1.5         Study                               Research            Composition study.
2017.04.14      2.5         Study                               Research            Shaders study.
2017.04.14      1.5         Jam                                 Audio               Composition and synthesis practice.
2017.04.13      0.5         Drone Dreams                        Performance         Drone music performance.
2017.04.12      3.0         Drone Dreams                        Development         Visuals development.
2017.04.12      2.5         Log                                 Development         Timeline visualization, adjustments.
2017.04.11      1.0         Elyium                              Design              Desktop version user interfacing.
2017.04.11      1.5         Elyium                              Development         Desktop version, organization, future feature set up and conceptualization.
2017.04.10      1.0         Jam                                 Audio               Mixing and synthesis practice.
2017.04.10      0.5         Study                               Writing             Societies of discipline and control.
2017.04.09      1.0         Study                               Writing             Societies of discipline and control.
2017.04.09      2.0         Jam                                 Audio               Composition practice.
2017.04.08      0.5         Drone Dreams                        Research            Local network setup and testing.
2017.04.08      0.5         Elyium                              Documentation       Description updates.
2017.04.08      4.0         Elyium                              Development         Entity interaction system, debugging, custom save file handling.
2017.04.07      0.5         Drone Dreams                        Audio               Tracks mix.
2017.04.07      0.5         Jam                                 Acoustic            Synth keyboard practice.
2017.04.07      0.5         Elyium                              Writing             Entities writing.
2017.04.06      1.5         Elyium                              Development         Custom save file handling.
2017.04.06      2.0         Elyium                              Documentation       Public documentation, guide to writing for Elyium.
2017.04.06      1.0         Elyium                              Writing             Entities writing.
2017.04.06      0.5         Drone Dreams                        Research            Javascript and html canvas.
2017.04.05      2.0         Drone Dreams                        Audio               Composition.
2017.04.05      0.5         Jam                                 Acoustic            Guitar practice.
2017.04.05      3.0         Elyium                              Development         Saving system and input field fix, custom saving implementation, optimizations, debugging.
2017.04.04      1.5         The Cosmic Affliction               Audio               Levi composition.
2017.04.04      0.5         Study                               Research            Anthropocene.
2017.04.04      6.5         Elyium                              Development         Save and load functionality, testing, debugging.
2017.04.03      5.5         V-OS                                Development         Log link integration, template system expansion, css fixes, content migration.
2017.04.02      0.5         Jam                                 Audio               Sound synthesis and composition practice.
2017.04.02      2.0         V-OS                                Writing             V-OS page for V-OS, LinkedIn page, V-OS rewrites.
2017.04.02      0.5         Elyium                              Development         Conflict reset feature and writing fix.
2017.04.02      1.5         Jam                                 Acoustic            Guitar practice.
2017.04.01      1.0         Jam                                 Acoustic            Guitar practice.
2017.04.01      3.0         Interactive Narratives              Writing             Narrative in interactive media research.
2017.03.31      0.5         Log                                 Development         Apostrophe escape, testing, documentation, bugfixes.
2017.03.31      1.0         Interactive Narratives              Writing             Narrative in interactive media research.
2017.03.31      0.5         V-OS                                Development         Security testing and development.
2017.03.30      1.0         Study                               Research            MBTI and social typology.
2017.03.30      1.0         Jam                                 Acoustic            Guitar practice.
2017.03.30      0.5         Study                               Writing             Exploration of societies and control structures.
2017.03.29      2.0         Drone Dreams                        Audio               Audio synthesis theory, collaborative experimentation.
2017.03.29      1.0         Drone Dreams                        Documentation       Presentation and artist's statement.
2017.03.28      0.5                                             Research            ScopeOne exploration and explanation.
2017.03.28      3.5         Elyium                              Development         Entities list interface, bugfixing, tuning, and testing.
2017.03.27      0.5                                             Editing             Modelling photographs editing.
2017.03.27      0.5         Study                               Research            Societies and control constructs.
2017.03.26      1.5         Rig                                 Maintenance         Organize and clean up media and assets, update backup.
2017.03.26      0.5         Rig                                 Maintenance         Update backup.
2017.03.26      2.0         Interactive Narratives              Writing             Narrative in interactive media research.
2017.03.25      0.5         Rig                                 Development         Rainmeter skin.
