Date,Time,Project,Task,Division,Details
2023-09-20,0.5,V-OS,Writing,Abstract,Project documentation.
2023-09-20,2.5,Time Breaker,Photography,Visual,Breakdown video editing.
2023-09-20,0.5,Study,Research,Abstract,"Storytelling, game design."
2023-09-20,0.5,Jam,Performance,Audio,Drumming.
2023-09-20,0.5,Kabam,Writing,Abstract,Documentation.
2023-09-20,2.5,Kabam,Development,Code,Shader development.
2023-09-19,2.5,Time Breaker,Photography,Visual,Breakdown video editing.
2023-09-19,0.5,Jam,Performance,Audio,Drumming.
2023-09-19,6.5,Kabam,Development,Code,"Shader development, animation retargeting."
2023-09-18,3.5,Time Breaker,3D,Visual,Breakdown video scene setup.
2023-09-17,3.0,Time Breaker,3D,Visual,Breakdown video scene setup.
2023-09-16,1.0,Study,Research,Abstract,Game design.
2023-09-15,1.0,Study,Research,Abstract,Game design.
2023-09-14,7.0,Doodle,3D,Visual,3D challenge scene creation.
2023-09-14,1.5,Study,Research,Abstract,Game design.
2023-09-13,1.0,Kabam,3D,Visual,Shader debugging.
2023-09-13,3.0,Study,Research,Abstract,Game design.
2023-09-12,3.0,Kabam,Design,Code,Shader development.
2023-09-12,3.0,Kabam,Design,Abstract,"Meetings, organizing and delegating tasks."
2023-09-11,1.5,Rig,Maintenance,Abstract,Sheets updates and context menu customization.
2023-09-10,0.5,Rig,Maintenance,Abstract,Obsidian organization and note offloading.
2023-09-10,0.5,Japan,Linguistics,Abstract,Japanese.
2023-09-10,0.0,Various,Event,None,Japan trip return.
2023-09-09,0.5,Japan,Linguistics,Abstract,Japanese.
2023-09-09,1.0,Doodle,Research,Visual,Hair cards.
2023-09-08,0.5,Japan,Linguistics,Abstract,Japanese.
2023-09-08,3.0,Doodle,Research,Visual,"Hair cards, sketching, rendering."
2023-09-07,0.5,Japan,Linguistics,Abstract,Japanese.
2023-09-07,0.5,Doodle,Research,Visual,3D rendering.
2023-09-06,0.5,Japan,Linguistics,Abstract,Japanese.
2023-09-06,1.5,Study,Research,Abstract,"Math, storytelling, science fiction."
2023-09-05,0.5,Japan,Linguistics,Abstract,Japanese.
2023-09-05,2.0,Doodle,Research,Visual,Compositing reading.
2023-09-04,2.0,Doodle,Research,Visual,Compositing reading.
2023-09-03,0.5,Japan,Linguistics,Abstract,Japanese.
2023-09-03,2.0,Doodle,Research,Visual,3D render review.
2023-09-02,0.5,Japan,Linguistics,Abstract,Japanese.
2023-09-02,3.0,Doodle,Research,Visual,3D render review.
2023-09-01,0.5,Japan,Linguistics,Abstract,Japanese.
2023-09-01,0.5,Doodle,Research,Visual,3D rendering.
2023-08-31,0.5,Japan,Linguistics,Abstract,Japanese.
2023-08-30,0.5,Japan,Linguistics,Abstract,Japanese.
2023-08-30,1.5,Study,Research,Abstract,TeamLabs exhibit.
2023-08-29,0.5,Study,Research,Abstract,Posing.
2023-08-29,0.5,Japan,Linguistics,Abstract,Japanese.
2023-08-29,0.5,Doodle,Research,Visual,3D rendering.
2023-08-28,0.5,Study,Research,Abstract,Posing.
2023-08-28,0.5,Japan,Linguistics,Abstract,Japanese.
2023-08-28,0.5,Doodle,Research,Visual,3D rendering.
2023-08-27,0.5,Study,Research,Abstract,Posing.
2023-08-27,0.5,Japan,Linguistics,Abstract,Japanese.
2023-08-27,0.5,Doodle,Research,Visual,3D rendering.
2023-08-26,0.5,Japan,Linguistics,Abstract,Japanese.
2023-08-26,0.5,Doodle,Research,Visual,3D rendering.
2023-08-25,0.5,Japan,Linguistics,Abstract,Japanese.
2023-08-25,0.5,Doodle,Research,Visual,3D rendering.
2023-08-24,0.5,Japan,Linguistics,Abstract,Japanese.
2023-08-24,1.0,Study,Research,Abstract,Platformer game design.
2023-08-24,0.5,Doodle,Research,Visual,3D rendering.
2023-08-23,1.0,Study,Research,Abstract,Platformer game design.
