DIVISIONS                  Task divisions (thoughts)

Abstract                   Design, and the untangible
Code                       Systems, coding, and tech
Visual                     Graphics, video, and images
Audio                      Music and audio
Personal                   Maintenance, personal curiosities, and mindless tasks
None                       Nothing

TASKS                      Task types (actions)

Design                     Project Planning, Research, and Organization
Development                Programming, Testing, Math, and Debugging
Writing                    Narrative, Research, Documentation, and Communication
Linguistics                Language Development
Graphic                    2D Graphic Development
Illustration               Drawing
3D                         Generation, Animation, Lighting, and Rendering
Modeling                   Modeling, Sculpting, Rigging, Texturing
Videography                Video Filming and Editing
Photography                Picture Taking and Editing
Composition                Composing, Producing, and Mixing
Acoustic                   Instrument Play and Recording
Performance                Audio and Visual Performance
Research                   Learning, Testing, Studying, and Teaching
Maintenance                Personal Organization and Maintenance
Event                      Noteworthy Event
None                       Nothing

#ARCH PROJECTS             Overarching activities that are individually too small to be considered as projects but add up to significant amounts of time, long-term

#Study                     Learning activities
#Jam                       Audio activities (audio)
#Doodle                    Visual activities (visual)
#Tinker                    Development and design activities (code / abstract)
#Various                   Other activities (given to activities unique and unpopular enough to not have an overarching project designation)
#None                      Nothing

DATE         TIME  PROJECT                       TASK              DIVISION        DETAILS

2017.11.04   1.5   TA253                         Research          Code            Correction.
2017.11.04   2.5   Relay                         Development       Code            UI.
2017.11.03   0.5   Relay                         Development       Code            UI.
2017.11.03   1.5   Relay                         Design            Abstract        Game design.
2017.11.03   3.0   Relay                         Graphic           Visual          UI.
2017.11.02   1.0   Relay                         Graphic           Visual          UI.
2017.11.02   1.0   Relay                         Design            Abstract        Game design.
2017.11.02   2.0   Study                         Research          Abstract        Cyberpunk themes.
2017.11.01   2.5   Eyebat                        Modeling          Visual          Rigging.
2017.11.01   2.0   Relay                         Research          Abstract        Social space design and game research.
2017.10.31   1.5   Study                         Research          Code            MaxMSP.
2017.10.31   2.5   TA253                         Research          Code            Code help.
2017.10.31   3.5   Study                         Research          Abstract        Narrative methodologies.
2017.10.30   1.0   Study                         Research          Abstract        Ketogenic diets.
2017.10.30   0.5   Study                         Research          Abstract        Suspense in narrative media.
2017.10.30   1.0   NOM                           Videography       Visual          Editing and post processing.
2017.10.30   3.0   NOM                           3D                Visual          Animation and rendering.
2017.10.29   2.5   NOM                           3D                Visual          Animation.
2017.10.28   4.0   NOM                           3D                Visual          Environment, elements, audio, animation.
2017.10.27   0.5   Jam                           Acoustic          Audio           Piano.
2017.10.27   1.5   TA253                         Research          Code            Correction.
2017.10.27   1.0   Study                         Research          Abstract        Game pacing and progression.
2017.10.26   1.0   Study                         Research          Abstract        Multi-genre and locative games.
2017.10.25   1.0   Doodle                        3D                Visual          Animation.
2017.10.25   2.0   Study                         3D                Visual          Animation.
2017.10.25   1.0   Tinker                        Design            Abstract        Locative game design.
2017.10.24   2.5   TA253                         Research          Code            Code help.
2017.10.24   3.0   Study                         Research          Abstract        Tabletop RPG gameplay testing and study.
2017.10.23   1.0   Qurotema                      Development       Code            Sky and texture animation.
2017.10.23   3.5   Qurotema                      Modeling          Visual          Procedural textures, lighting, Gates modeling.
2017.10.23   1.5   Eyebat                        Modeling          Visual          Texturing.
2017.10.22   1.0   Eyebat                        Modeling          Visual          Texturing.
2017.10.22   1.5   Qurotema                      Modeling          Visual          Procedural textures.
2017.10.21   1.0   Atomic AI                     3D                Visual          Modifier crafting (3).
2017.10.21   1.0   Eyebat                        Modeling          Visual          Texture painting.
2017.10.21   3.5   Qurotema                      Modeling          Visual          Procedural textures.
2017.10.20   6.0   Qurotema                      Modeling          Visual          Procedural textures.
2017.10.20   1.0   Eyebat                        Modeling          Visual          Texture painting.
2017.10.19   2.0   Jam                           Acoustic          Audio           Piano, guitar.
2017.10.19   3.5   Tinker                        Development       Audio           Additive synthesizer programming.
2017.10.19   0.5   Study                         Writing           Abstract        Tabletop RPG scenario writing.
2017.10.18   0.5   Jam                           Acoustic          Audio           Piano.
2017.10.18   2.5   Doodle                        3D                Visual          Texturing.
2017.10.18   0.5   Study                         Writing           Abstract        Tabletop RPG scenario writing.
2017.10.17   0.5   Qurotema                      Modeling          Visual          Unreal Engine development.
2017.10.17   0.5   Study                         Writing           Abstract        Tabletop RPG scenario writing.
2017.10.17   1.0   Study                         Research          Code            Analog audio synthesis hardware.
2017.10.17   3.0   TA253                         Research          Code            Code help.
2017.10.17   3.0   Study                         Research          Abstract        Narrative and storytelling capacity of games.
2017.10.16   3.5   Tinker                        Development       Code            Javascript.
2017.10.16   1.5   Qurotema                      Development       Visual          Unreal Engine development.
2017.10.15   1.5   TA253                         Research          Code            Correction.
2017.10.15   1.5   Eyebat                        Modeling          Visual          UV unwrapping.
2017.10.15   1.0   Study                         Research          Abstract        DnD - open-ended gameplay systems.
2017.10.14   5.0   Di                            Writing           Abstract        Character writing.
2017.10.14   1.0   Qurotema                      Development       Code            Unreal Engine development.
2017.10.14   1.0   Qurotema                      Research          Code            Unreal Engine development.
2017.10.14   0.5   Tinker                        Research          Code            PHP help.
2017.10.14   1.0   Study                         Research          Abstract        Boris - Liquorice.
2017.10.13   1.0   Study                         Research          Abstract        Boris - Liquorice.
2017.10.13   1.0   Study                         Research          Audio           Boris - Liquorice.
2017.10.13   2.0   Rotonde                       Research          Abstract        Beaker browser study, tinkering.
2017.10.13   0.5   Study                         Research          Abstract        Hammurabi testing.
2017.10.12   5.0   Tinker                        Development       Code            Data visualization exercise.
2017.10.12   1.5   Study                         Research          Abstract        Data visualization.
2017.10.12   1.0   Atomic AI                     3D                Visual          Lighting, and rendering (2).
2017.10.11   2.5   Atomic AI                     3D                Visual          Texturing, lighting, and rendering (2).
